,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,param_tfidf__binary,param_tfidf__lowercase,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
457,0.047968387603759766,0.0008818298485146753,0.022374868392944336,0.000523768376493821,0.7222222222222222,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8370123068866195,0.873572261072261,0.85524688125571,0.01492567690784392,33
829,0.027959108352661133,0.0005355828437253271,0.012651284535725912,0.00041105346737537504,1.3444444444444446,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8594277742531484,0.8180275537634408,0.8879457985233454,0.8551337088466449,0.028705045849849925,35
853,0.04887223243713379,0.00048723670220444563,0.022925376892089844,0.0012579790266099536,1.3444444444444446,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8594277742531484,0.8180275537634408,0.8879457985233454,0.8551337088466449,0.028705045849849925,35
949,0.029037634531656902,0.0009096909616554462,0.015428702036539713,0.004608429764127842,1.5,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 1.5, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8594277742531484,0.8180275537634408,0.8879457985233454,0.8551337088466449,0.028705045849849925,35
925,0.03260572751363119,0.006318639702549316,0.01269984245300293,0.00022048352422057862,1.5,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 1.5, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8594277742531484,0.8180275537634408,0.8879457985233454,0.8551337088466449,0.028705045849849925,35
541,0.028714736302693684,0.00023833355447193085,0.012499729792277018,0.00035863017100250824,0.8777777777777778,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8794857221967196,0.8550095499289649,0.026602923903396167,39
565,0.04952462514241537,0.001329627694620779,0.02278892199198405,0.0019048660367219884,0.8777777777777778,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8794857221967196,0.8550095499289649,0.026602923903396167,39
72,0.030007203420003254,0.0005696898851369399,0.01302337646484375,0.0003666280876464081,0.1,False,False,True,True,"(1, 1)",,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8633193009028273,0.8370123068866195,0.8641612495485734,0.8548309524460067,0.01260437269518851,41
48,0.02979453404744466,0.0002513893256386912,0.01288620630900065,0.0004350055852961799,0.1,False,True,True,True,"(1, 1)",,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8633193009028273,0.8370123068866195,0.8641612495485734,0.8548309524460067,0.01260437269518851,41
529,0.028505484263102215,0.0004621292738791083,0.012458403905232748,0.0001591286798316296,0.8777777777777778,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8241589267285861,0.8798022629544369,0.853039088497091,0.022765565269246345,43
553,0.029088258743286133,0.001220306984753721,0.012697776158650717,0.0006403088110846964,0.8777777777777778,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8241589267285861,0.8798022629544369,0.853039088497091,0.022765565269246345,43
337,0.03205235799153646,0.005436293873507307,0.012234926223754883,0.000338824985603118,0.5666666666666667,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8633193009028273,0.8370123068866195,0.8565785167477732,0.8523033748457399,0.011157123651254902,45
361,0.04765590031941732,0.0014519178647313315,0.021921078364054363,0.001504857406790689,0.5666666666666667,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8633193009028273,0.8370123068866195,0.8565785167477732,0.8523033748457399,0.011157123651254902,45
451,0.029120206832885742,0.0013404621634595388,0.012679815292358398,0.00012580475874222576,0.7222222222222222,False,True,False,False,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8417512633852045,0.8180275537634408,0.8879457985233454,0.8492415385573303,0.02903122921030736,47
475,0.02829750378926595,0.00042286577395498167,0.012410879135131836,0.0002377721447097419,0.7222222222222222,False,False,False,False,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8417512633852045,0.8180275537634408,0.8879457985233454,0.8492415385573303,0.02903122921030736,47
25,0.029787381490071613,0.00015726500250630408,0.013221820195515951,0.0008452279118846053,0.1,True,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': True, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8714493870168152,0.8184523809523809,0.8552023373451945,0.8483680351047967,0.022169068966817227,49
1,0.03397536277770996,0.0046422837553177,0.013851801554361979,0.0012615613166849855,0.1,True,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': True, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8714493870168152,0.8184523809523809,0.8552023373451945,0.8483680351047967,0.022169068966817227,49
66,0.05109000205993652,0.001570027020650849,0.022536357243855793,0.000511758406790866,0.1,False,True,False,False,"(1, 1)",,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8820050916825111,0.8034830291733496,0.8576072287742768,0.8476984498767125,0.0328132747487332,51
